id,name,address,phone,specialty,license,pdf_path
1,Dr. Emily Cook,"3897 Oak Drive, PA",(549) 736-9965,Gastroenterology,PA-B84030,none
2,Dr. Henry Wright,"5968 Pine St, FL",(480) 660-6800,Cardiology,FL-A96619,none
3,Dr. Chloe Scott,"2957 Main St, FL",(429) 481-6247,Pediatrics,FL-N24321,none
4,Dr. Olivia Bell,"2772 Maple Blvd, MI",(664) 227-4222,Gastroenterology,MI-B68892,none
5,Dr. Amelia Perez,"9719 Main St, GA",(425) 636-2017,Pediatrics,GA-N38492,none
6,Dr. Layla Young,"8729 Oak Drive, TX",(671) 471-1010,Dermatology,TX-D80169,none
7,Dr. Isabella Reed,"9179 Maple Blvd, TX",(945) 323-2146,Dermatology,TX-B93253,none
8,Dr. Zoe Rogers,"4546 Oak Drive, PA",(915) 791-5914,Cardiology,PA-C24036,none
9,Dr. Alexander Gray,"1182 Elm St, MI",(214) 384-8831,Oncology,MI-A98360,none
10,Dr. Sophia Hall,"1300 Elm St, NY",(928) 575-1843,Dermatology,NY-D81699,none
11,Dr. Jack Miller,"7411 Oak Drive, CA",(763) 716-1851,Cardiology,CA-B18783,none
12,Dr. Levi Baker,"5172 Oak Drive, GA",(967) 978-6582,Cardiology,GA-N90468,none
13,Dr. David Morris,"3569 Elm St, FL",(496) 251-2494,Endocrinology,FL-A42517,none
14,Dr. Levi Cox,"7539 Main St, CA",(698) 599-4656,Cardiology,CA-A76476,none
15,Dr. Hannah Wright,"549 Main St, TX",(612) 607-3300,Orthopedics,TX-C42136,none
16,Dr. Ella Scott,"4000 Main St, FL",(619) 945-7927,Pediatrics,FL-C23719,none
17,Dr. Ethan Peterson,"3214 Oak Drive, IL",(523) 677-7322,Psychiatry,IL-N37261,none
18,Dr. Daniel Torres,"3572 Maple Blvd, MI",(259) 954-4119,Radiology,MI-N46678,none
19,Dr. Wyatt Thompson,"2424 Maple Blvd, PA",(816) 202-4859,Radiology,PA-C48877,none
20,Dr. Aria Cook,"1309 Pine St, CA",(566) 908-6726,Pediatrics,CA-N35259,inputs/sample_pdfs/doc_20.pdf
21,Dr. Lucas Hall,"2621 Elm St, CA",(473) 759-8715,Radiology,CA-C93817,none
22,Dr. Wyatt Lopez,"5019 Cedar Ave, OH",(268) 869-1156,Orthopedics,OH-D12885,none
23,Dr. Amelia Cooper,"9720 Elm St, CA",(879) 268-2295,Oncology,CA-A17431,none
24,Dr. Mia Scott,"7807 Oak Drive, TX",(406) 236-4706,Pediatrics,TX-D91178,none
25,Dr. Ethan Wright,"2725 Cedar Ave, OH",(277) 290-2840,Orthopedics,OH-C66145,none
26,Dr. Lucas Collins,"911 Pine St, PA",(668) 990-7967,Oncology,PA-N21956,none
27,Dr. Nora Perez,"8275 Maple Blvd, NC",(204) 543-3784,Cardiology,NC-B39666,none
28,Dr. Samuel Hall,"8776 Elm St, OH",(346) 535-6056,Radiology,OH-B10820,none
29,Dr. Nora Brown,"3544 Oak Drive, MI",(851) 731-1648,Dermatology,MI-A70037,none
30,Dr. Levi Young,"8088 Main St, TX",(510) 487-5121,Neurology,TX-A80212,none
31,Dr. Aria Mitchell,"7671 Cedar Ave, GA",(933) 325-5562,Dermatology,GA-C97579,none
32,Dr. Riley Bell,"7620 Oak Drive, TX",(827) 874-1806,Gastroenterology,TX-C65777,inputs/sample_pdfs/doc_32.pdf
33,Dr. Emma Lewis,"220 Cedar Ave, FL",(626) 609-1518,Radiology,FL-C64945,none
34,Dr. Michael Bell,"4476 Main St, FL",(879) 856-1225,Radiology,FL-N56975,none
35,Dr. Sophia Carter,"4895 Oak Drive, TX",(827) 969-6374,Endocrinology,TX-D45554,none
36,Dr. Hazel Turner,"8484 Cedar Ave, IL",(847) 877-6555,Neurology,IL-D21291,none
37,Dr. Stella Collins,"6462 Main St, TX",(958) 673-1668,Gastroenterology,TX-C75941,none
38,Dr. Olivia Cox,"8479 Cedar Ave, GA",(387) 355-8730,Endocrinology,GA-C57120,none
39,Dr. Owen Lewis,"902 Oak Drive, NC",(910) 579-9799,Oncology,NC-A12911,none
40,Dr. Noah Wright,"6313 Maple Blvd, PA",(254) 210-1194,Cardiology,PA-C90413,none
41,Dr. Mason Peterson,"3973 Oak Drive, NY",(568) 465-7554,Neurology,NY-N80862,none
42,Dr. Charlotte Clark,"6922 Pine St, OH",(504) 634-4692,Gastroenterology,OH-B41090,none
43,Dr. Owen Wilson,"234 Main St, NC",(819) 634-7176,Orthopedics,NC-D38247,none
44,Dr. Riley Walker,"7711 Main St, MI",(590) 935-1607,Oncology,MI-C64749,none
45,Dr. Harper Morgan,"4839 Pine St, MI",(576) 709-9906,Psychiatry,MI-N79385,none
46,Dr. Layla Ward,"2198 Main St, CA",(355) 730-8174,Oncology,CA-C27728,none
47,Dr. John Allen,"5621 Elm St, MI",(703) 764-9680,Neurology,MI-C33074,none
48,Dr. John Miller,"2292 Elm St, FL",(882) 804-8040,Neurology,FL-N15473,none
49,Dr. Samuel Bailey,"1377 Maple Blvd, OH",(331) 285-6659,Pediatrics,OH-N80180,none
50,Dr. Levi Evans,"4006 Pine St, IL",(846) 231-1699,Oncology,IL-C26470,none
51,Dr. Ella Campbell,"804 Main St, NC",(969) 872-7684,Neurology,NC-C72065,none
52,Dr. Evelyn Morgan,"5141 Main St, CA",(847) 654-7128,Oncology,CA-B72649,none
53,Dr. Hazel Brown,"4614 Maple Blvd, MI",(680) 419-1363,Dermatology,MI-A39469,none
54,Dr. David Cooper,"1118 Oak Drive, NC",(607) 997-5890,Neurology,NC-A34564,none
55,Dr. Sarah Torres,"4830 Pine St, GA",(845) 472-7998,Psychiatry,GA-A60010,inputs/sample_pdfs/doc_55.pdf
56,Dr. Aria Richardson,"2388 Cedar Ave, NC",(251) 530-4411,Dermatology,NC-B51566,none
57,Dr. Samuel Cook,"1168 Pine St, NC",(934) 447-3845,Radiology,NC-D97178,none
58,Dr. Aubrey Campbell,"5607 Oak Drive, FL",(789) 623-5271,Psychiatry,FL-C41508,none
59,Dr. Benjamin Richardson,"8509 Oak Drive, NY",(826) 324-1201,Endocrinology,NY-C65731,none
60,Dr. Zoe Martinez,"1246 Pine St, CA",(613) 389-7231,Gastroenterology,CA-D36385,none
61,Dr. Elijah Phillips,"8567 Oak Drive, PA",(226) 818-8354,Radiology,PA-D39847,none
62,Dr. Samuel Mitchell,"8402 Maple Blvd, MI",(778) 236-2844,Psychiatry,MI-D72970,none
63,Dr. Benjamin Johnson,"625 Elm St, GA",(960) 683-7098,Psychiatry,GA-N27240,none
64,Dr. Wyatt Gray,"2143 Oak Drive, MI",(960) 629-5422,Psychiatry,MI-D20141,none
65,Dr. Zoe Turner,"8015 Main St, CA",(279) 843-5980,Orthopedics,CA-A31892,none
66,Dr. Harper Garcia,"1920 Cedar Ave, MI",(849) 225-9624,Oncology,MI-D46053,none
67,Dr. Liam Davis,"2122 Elm St, NC",(783) 864-9171,Cardiology,NC-A62285,none
68,Dr. Aiden Adams,"724 Elm St, CA",(911) 916-3524,Gastroenterology,CA-A26375,none
69,Dr. David Miller,"3419 Pine St, CA",(851) 448-7989,Psychiatry,CA-B92428,none
70,Dr. Henry Robinson,"3517 Main St, OH",(213) 681-6486,Endocrinology,OH-A84284,none
71,Dr. Mason Morris,"4631 Main St, MI",(794) 227-1132,Psychiatry,MI-B52299,none
72,Dr. Owen Carter,"3944 Pine St, NC",(934) 816-6654,Gastroenterology,NC-N12389,none
73,Dr. Sarah Johnson,"288 Elm St, MI",(477) 507-9171,Cardiology,MI-C64861,none
74,Dr. Stella Hill,"3494 Main St, CA",(547) 883-5814,Endocrinology,CA-C25225,none
75,Dr. Aiden Wright,"8993 Oak Drive, GA",(738) 479-2283,Orthopedics,GA-B90973,none
76,Dr. Hazel Hill,"2788 Elm St, NY",(540) 772-6097,Cardiology,NY-B48213,none
77,Dr. Daniel Evans,"4072 Oak Drive, MI",(527) 466-7693,Neurology,MI-D81892,none
78,Dr. Isabella Torres,"4580 Cedar Ave, MI",(414) 864-5759,Gastroenterology,MI-N77419,none
79,Dr. Mason Peterson,"1690 Cedar Ave, NC",(569) 959-2875,Orthopedics,NC-D17039,none
80,Dr. Layla Campbell,"6852 Main St, MI",(944) 611-1047,Gastroenterology,MI-N26447,none
81,Dr. Ella Scott,"6077 Maple Blvd, FL",(390) 684-9262,Psychiatry,FL-C36373,none
82,Dr. Daniel Peterson,"9417 Maple Blvd, GA",(782) 776-7295,Orthopedics,GA-D62270,none
83,Dr. Emma Johnson,"7446 Oak Drive, MI",(404) 261-6055,Orthopedics,MI-D72876,none
84,Dr. Isabella Scott,"1906 Main St, MI",(385) 989-6718,Radiology,MI-D98991,none
85,Dr. Emily Davis,"9072 Elm St, FL",(716) 522-5793,Cardiology,FL-C67263,inputs/sample_pdfs/doc_85.pdf
86,Dr. Riley Wright,"8274 Oak Drive, CA",(381) 998-5795,Endocrinology,CA-A70639,none
87,Dr. Wyatt Wright,"4417 Maple Blvd, MI",(503) 438-1736,Oncology,MI-N86521,none
88,Dr. Ava Torres,"1117 Pine St, NC",(471) 808-6602,Radiology,NC-C74896,none
89,Dr. Chloe Phillips,"3840 Main St, OH",(881) 503-5806,Gastroenterology,OH-B93613,none
90,Dr. Emily Turner,"3068 Maple Blvd, NY",(543) 560-6292,Orthopedics,NY-D86154,none
91,Dr. Aubrey Torres,"2449 Main St, FL",(817) 559-4876,Cardiology,FL-D12426,none
92,Dr. James Miller,"5357 Cedar Ave, NC",(718) 503-3402,Oncology,NC-A98387,none
93,Dr. Scarlett Lopez,"812 Elm St, TX",(407) 396-9102,Gastroenterology,TX-D49984,none
94,Dr. Noah Lopez,"9575 Maple Blvd, CA",(944) 375-5269,Oncology,CA-B59569,none
95,Dr. Owen Bell,"7870 Maple Blvd, MI",(723) 424-7230,Radiology,MI-A52201,none
96,Dr. Benjamin Adams,"9770 Cedar Ave, GA",(667) 375-9833,Cardiology,GA-D69580,none
97,Dr. Stella Edwards,"3283 Cedar Ave, NC",(717) 689-8059,Pediatrics,NC-A27758,none
98,Dr. Harper Rogers,"8099 Elm St, CA",(326) 810-7022,Dermatology,CA-A56991,none
99,Dr. Isabella Murphy,"8177 Main St, GA",(569) 881-9341,Psychiatry,GA-D58015,inputs/sample_pdfs/doc_99.pdf
100,Dr. Emma Brown,"3430 Cedar Ave, NY",(429) 603-8913,Pediatrics,NY-N57023,none
101,Dr. Nora Campbell,"2939 Pine St, GA",(731) 763-4608,Radiology,GA-B15525,none
